,Heat Treatment Method,,,,,,Heat Treated Properties,,,,,,,,,Composition,,,,As Built Properties,,,,,,,,LPBF process  parameter,,,,,,,,,,,,,,,,,Mechanical Testing,,,,,
,solution temp,Sol time,ageing temp,ageing time,ageing temp,ageing time,UTS,YS,Elongation,strain hardening,hardness,modulus,Quality,Toughness,n,Si,Al,Mg,Fe,UTS,YS,Elongation,hardness,Modulus,Quality,Support Structure,BT,p/v,power,speed,Hatch ,thickness,Density,,,Direction,,Scanning,spot dia,exposure,pulsing,powder size,Powder mfg,Machine,Geometry,l/d,Strain rate,Estension rate,Density,machining  of sample
,Degrees,hrs,Degrees,hrs,Degrees,hrs,Mpa,Mpa,%,,HV,Gpa,,Mpa,,wt %,wt %,wt %,wt %,Mpa,Mpa,%,HV,Gpa,,,Degrees,,W,mm/s,mm,mm,J/mm3,,,,,,mm,micro sec,nano sec,micron,,,,,per sec,mm/min,%,
,525,8,165,10,,,,,,,46,,,,,,,,,,,,88,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,45,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,48,,,,,,,,,,,,78,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,60,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,54,,,,,,,,,,,,76,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,60,,,,,,,,,,,,74,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,80,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,8,165,10,,,,,,,64,,,,,,,,,,,,74,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,90,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,0,0,,,200,110,11,,,,356.2089028,,,,,,,360,235,2.7,76,,424.7045646,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,2,,,225,150,9,,,,368.1363764,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,4,,,280,210,6,,,,396.7226876,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
,525,2,160,8,,,300,260,4,,,,390.3089987,,,,,,,,,,,,,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,70,,"chessboard, 90, bi",,,,20 to 63,SLM,SLM 280 HL,rectangular,,,5,,Y
"Iturrioz, 2018",300,2,0,0,,,220,180,17,,81,,404.5673382,,,9.94,,0.38,0.16,382,250,2,127,,427.1544993,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,450,2,180,12,,,219,185,11,,81,,375.2089028,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,550,2,180,12,,,307,260,9,,101,,450.1363764,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,450,2,0,0,,,189,120,14,,88,,360.9192054,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
,550,2,0,0,,,248,150,13,,70,,415.0915028,,,9.94,,0.38,0.16,,,,,,,,,#DIV/0!,,,,,#DIV/0!,,,V,,,,,,20 to 63,,SLM 280 HL,circular,,,,,
"Takata, 2017",300,2,0,0,,,285,180,18.6,,88,,475.4269416,,,10.73,,0.17,0.42,475,279,7.5,132,,606.2591895,,25,#DIV/0!,380,,0.1,0.03,#DIV/0!,,,H,,"chessboard, 67, bi",,,,1 to 34,,EOS M 280,rectangular,"14,2",0.0012,1,,Y
,300,2,0,0,,,290,175,14.2,,88,,462.8432517,,,10.73,,0.17,0.42,476,220,5.5,134,,587.0544034,,25,#DIV/0!,,,0.1,0.03,#DIV/0!,,,V,,"chessboard, 67, bi",,,,1 to 34,,EOS M 280,rectangular,"14,2",0.0012,1,,Y
,530,6,0,0,,,269,153,18.3,,61,,458.3676635,,,10.73,,0.17,0.42,,,,,,,,25,#DIV/0!,,,0.1,0.03,#DIV/0!,,,H,,"chessboard, 67, bi",,,,1 to 34,,EOS M 280,rectangular,"14,2",0.0012,1,,Y
,530,6,0,0,,,245,139,18.1,,61,,433.6517862,,,10.73,,0.17,0.42,,,,,,,,25,#DIV/0!,,,0.1,0.03,#DIV/0!,,,V,,"chessboard, 67, bi",,,,1 to 34,,EOS M 280,rectangular,"14,2",0.0012,1,,Y
,530,6,20,270,,,,,,,75,,,,,10.73,,0.17,0.42,,,,,,,,25,#DIV/0!,,,0.1,0.03,#DIV/0!,,,V,,"chessboard, 67, bi",,,,1 to 34,,EOS M 280,rectangular,"14,2",0.0012,1,,Y
"wang, 2018",535,2,158,10,,,278,160,10.12,,100,,428.7770769,,,,,0.33,0.55,358,,7.4,121,,488.384758,,,0.4,400,1000,0.175,0.025,91.42857143,88.16305228,210.5263158,H,,"chessboard, 67, bi",0.076,,,20 to 60 (30),Renishaw,Renishaw AM 250,rectangular,,,,,
,535,2,158,10,,,267,174,9.28,,96,,412.1321964,,,,,0.33,0.55,334,,3.6,120,,417.4453751,,,0.4,400,1000,0.175,0.025,91.42857143,88.16305228,210.5263158,V,,"chessboard, 67, bi",0.076,,,20 to 60 (30),Renishaw,Renishaw AM 250,rectangular,,,,,
"Zhang, 2018",300,2,0,0,,,360,260,7.4,,,,490.384758,,,9.15,,0.3,0.18,,,,,,,,,0.245,490,2000,,,#DIV/0!,,,,,,0,,,,,,,,,,,
,530,1,0,0,,,250,150,11.7,,,,410.2278793,,,9.15,,0.3,0.18,,,,,,,,,0.245,490,2000,,,#DIV/0!,,,,,,0,,,,,,,,,,,
,530,1,170,12,,,240,175,10,,,,390,,,9.15,,0.3,0.18,,,,,,,,,0.245,490,2000,,,#DIV/0!,,,,,,0,,,,,,,,,,,
"Maamoun, 2018",,,,,,,,,,,,,,,,,,,,354,186,,,,,,200,0.37,370,1000,0.19,0.03,64.9122807,,,,,,0,,,12 to 110,,,,,,,,
,,,,,,,,,,,,,,,,,,,,396,196,,,,,,200,0.284615385,370,1300,0.19,0.03,49.93252362,,,,,,0,,,12 to 110,,,,,,,,
,,,,,,,,,,,,,,,,,,,,290,232,,,,,,200,0.153846154,200,1300,0.19,0.03,26.99055331,,,,,,0,,,12 to 110,,,,,,,,
"Shrinivasa, 2019",,,,,,,,,,,,,,,,,,,,338,,4.6,,,437.4136748,,300,0.284615385,370,1300,0.19,0.03,49.93252362,,,H,,"stripscanning, 67",0,,,,,EOS M 280,circular,"32.5,6",0.001,,99.1,Y
,,,,,,,,,,,,,,,,,,,,366,,4.4,,,462.5179015,,300,0.284615385,370,1300,0.19,0.03,49.93252362,,,V,,"stripscanning, 67",0,,,,,EOS M 280,circular,"32.5,6",0.001,,99.1,Y
"Du, 2019",,,,,,,,,,,,,,,,,,,,325,,6,,,441.7226876,,80,0.430107527,400,930,0.14,0.04,76.80491551,85.5560803,134.4086022,,,"stripscanning, 67",0.08,,,20 to 100 (56),Renishaw,Renishaw AM 250,rectangular,"42,2",,0.6,,
"Hadadzadeh, 2018",,,,,,,,,,,,,,,,10.8,,0.35,0.55,386,235,7.2,,,514.5998745,,200,0.284615385,370,1300,0.19,0.03,49.93252362,36.23365813,94.87179487,H,,,0.1,,,,EOS,EOS M 290,circular,"24,6",0.0009,,,Y
,,,,,,,,,,,,,,,,10.8,,0.35,0.55,392,210,5.5,,,503.0544034,,200,0.284615385,370,1300,0.19,0.03,49.93252362,36.23365813,94.87179487,V,,,0.1,,,,EOS,EOS M 290,circular,"24,6",0.0009,,,Y
"kempen, 2012",,,,,,,,,,,,,,,,,,,,400,240,5.5,127,68,511.0544034,,,0.142857143,200,1400,0.105,,#DIV/0!,8.083012539,,H,,,0.15,,,,,Concept laser M1,rectangular,,,,98.5,
,,,,,,,,,,,,,,,,,,,,391,220,3.5,,,472.6102067,,,0.142857143,200,1400,0.105,,#DIV/0!,8.083012539,,V,,,0.15,,,,,Concept laser M1,rectangular,,,,98.5,
"Read, 2015",,,,,,,,,,,,,,,,9.92,,0.29,0.137,340,250,1.5,,,366.4136889,,,0.170731707,175,1025,0.15,0.03,37.9403794,,,H,,"chessboard, 90, bi",0,,,20 to 63 (35),LPW technology Ltd,Concept laser M2,circular,,,,,Y
,,,,,,,,,,,,,,,,9.92,,0.29,0.137,320,230,1.3,,,337.0915028,,,0.170731707,175,1025,0.15,0.03,37.9403794,,,V,,"chessboard, 90, bi",0,,,21 to 63 (35),LPW technology Ltd,Concept laser M2,circular,,,,,Y
"Guo, 2019",,,,,,,,,,,,,,,,,,,,364,,3,,,435.5681882,,80,0.4,200,500,0.15,0.03,88.88888889,103.9244469,190.4761905,H,,Checkboard/island,0.07,,,20 to 63,PSI HERMIGA 75/5VI,SPI + SCANLAB,rectangular,"28,2",,,98.69,Y
,,,,,,,,,,,,,,,,,,,,381,,2.83,,,448.7679653,,120,0.4,200,500,0.15,0.03,88.88888889,103.9244469,190.4761905,H,,Checkboard/island,0.07,,,20 to 63,PSI HERMIGA 75/5VI,SPI + SCANLAB,rectangular,"28,2",,,97.39,Y
,,,,,,,,,,,,,,,,,,,,364,,5.33,,,473.0090814,,160,0.4,200,500,0.15,0.03,88.88888889,103.9244469,190.4761905,H,,Checkboard/island,0.07,,,20 to 63,PSI HERMIGA 75/5VI,SPI + SCANLAB,rectangular,"28,2",,,97.01,Y
,,,,,,,,,,,,,,,,,,,,303,,2,,,348.1544993,,80,0.4,200,500,0.15,0.03,88.88888889,103.9244469,190.4761905,H,,uniformity,0.07,,,21 to 63,PSI HERMIGA 75/5VI,SPI + SCANLAB,rectangular,"28,2",,,97.76,Y
"Raus, 2017",,,,,,,,,,,,,,,,10,,0.39,0.1,412,242,6.34,140,,532.3133887,,150,0.212121212,350,1650,0.13,0.03,54.39005439,42.19470324,88.38383838,H,,"chessboard, 90, bi",0.08,,,5 to 50,,SLM 125 HL,rectangular,25,,0.5,99.064,Y
"Xiao, 2019",,,,,,,,,,,,,,,,10,,0.322,,490,290,3.9,,,578.6596911,,,0.166666667,200,1200,0.1,0.03,55.55555556,37.72072518,74.07407407,V,,"chessboard, 90, bi",0.075,,,15 to 53,Vilory Ltd,"Prox DMP 200, 3D systems",circular,,,,99.971,Y
,,,,,,,,,,,,,,,,10,,0.322,,437,325,2.9,,,506.3596997,,,0.166666667,200,1200,0.1,0.03,55.55555556,37.72072518,74.07407407,H,,"chessboard, 90, bi",0.075,,,15 to 53,Vilory Ltd,"Prox DMP 200, 3D systems",circular,"25,5",0.0001,,99.971,Y
"Hitzler, 2017",,,,,,,,,,,,,,,,,,,,400,240,6.47,120 (HB),73,521.6356421,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,H,,"chessboard, 90, bi",0,,,37,SLM,SLM 280 HL,rectangular,,,5,99.5,Y
,,,,,,,,,,,,,,,,,,,,314,180,3.97,105,69,403.818576,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,45,,"chessboard, 90, bi",0,,,37,SLM,SLM 280 HL,rectangular,,,5,99.5,Y
,,,,,,,,,,,,,,,,,,,,357,208,3.15,104,70,431.7465831,,200,0.376344086,350,930,0.42,0.05,17.92114695,,,V,,"chessboard, 90, bi",0,,,37,SLM,SLM 280 HL,rectangular,,,5,99.5,Y
"Jokelainen, 2019",300,2,0,0,,,296,194,13.7,,,,466.5080851,,,,,,,449,315,9.5,,,595.6585408,,,0.212121212,350,1650,0.13,0.03,54.39005439,,,H,,"stripscanning, 67",0,,,20 to 63,,,rectangular,"25,3",,1,,Y
,300,2,0,0,,,298,176,10.8,,,,453.0135633,,,,,,,420,268,5,,,524.8455007,,,0.212121212,350,1650,0.13,0.03,54.39005439,,,V,,"stripscanning, 67",0,,,20 to 63,,,rectangular,"25,3",,1,,Y
"Jiang, 2019",,,,,,,,,,,,,,,,11,,,,387,205,3.22,,,463.1783808,,80,2,400,200,0.15,0.05,266.6666667,,,,,"stripscanning, 67",0,,,20 to 63,,Space M 200,rectangular,"40,2",,,,
"Tang, 2017",300,2,0,0,,,278,178,12.4,0.16,,,442.0132528,,,10.6,,0.38,0.15,,,,,,,,,0.284615385,370,1300,0.16,0.03,59.29487179,36.23365813,94.87179487,V,,"chessboard, 67, bi",0.1,,,45,EOS,EOS M 280,circular,"23, 5.7",,1,,Y
,300,2,0,0,,,282,186,12.7,0.14,,,447.5705581,,,10.6,,0.38,0.15,,,,,,,,,0.284615385,370,1300,0.19,0.03,49.93252362,36.23365813,94.87179487,V,,"chessboard, 67, bi",0.1,,,45,EOS,EOS M 280,circular,"23, 5.7",,1,,Y
,300,2,0,0,,,278,182,11.8,0.14,,,438.7823011,,,10.6,,0.38,0.15,,,,,,,,,0.284615385,370,1300,0.22,0.03,43.12354312,36.23365813,94.87179487,V,,"chessboard, 67, bi",0.1,,,45,EOS,EOS M 280,circular,"23, 5.7",,1,,Y
,300,2,0,0,,,274,188,15.3,0.12,,,451.7037146,,,10.6,,0.38,0.15,,,,,,,,,0.284615385,370,1300,0.19,0.03,49.93252362,36.23365813,94.87179487,H,,"chessboard, 67, bi",0.1,,,45,EOS,EOS M 280,circular,"23, 5.7",,1,,Y
"wang, 2018",300,2,0,0,,,370,246,4.4,,,,466.5179015,,,,,,,,,,,,,,160,0.289855072,400,1380,0.13,0.025,89.18617614,26.50151495,98.25595677,H,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
,300,2,0,0,,,370,237,4.2,,,,463.4873936,,,,,,,,,,,,,,160,0.289855072,400,1380,0.13,0.025,89.18617614,26.50151495,98.25595677,V,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
,300,2,0,0,,,388,257,4.8,,,,490.1861856,,,,,,,,,,,,,,160,0.425531915,400,940,0.13,0.025,130.9328969,38.90647939,144.2481067,H,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
,300,2,0,0,,,378,239,4.3,,,,473.0202683,,,,,,,,,,,,,,160,0.425531915,400,940,0.13,0.025,130.9328969,38.90647939,144.2481067,V,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
,300,2,0,0,,,355,230,4,,,,445.3089987,,,,,,,,,,,,,,160,0.650406504,400,615,0.13,0.025,200.1250782,59.46681403,220.476781,H,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
,300,2,0,0,,,355,220,4,,,,445.3089987,,,,,,,,,,,,,,160,0.650406504,400,615,0.13,0.025,200.1250782,59.46681403,220.476781,V,,"chessboard, 67, bi",0.118,100 to 180,,,,,rectangular,"30,3",,0.5,,
"Mower, 2016",300,2,0,0,,,358,227,4,,,65.5,448.3089987,,,9.5,,0.33,0.15,,,,,,,,200,0.107526882,100,930,,0.05,#DIV/0!,13.68897285,21.50537634,H,,,0.1,,,20 to 63,EOS,SLM 280,rectangular,"10, 3.8",0.0001,,,N
,300,2,0,0,,,289,172,2.6,,,75.4,351.2460022,,,9.5,,0.33,0.15,,,,,,,,200,0.107526882,100,930,,0.05,#DIV/0!,13.68897285,21.50537634,V,,,0.1,,,20 to 63,EOS,SLM 280,rectangular,"10, 3.8",0.0001,,,N
"Wang Y, 2018",,,,,,,,,,,,,,,,,,,,337,234,3,,,408.5681882,,20 (steel),0.284615385,370,1300,0.19,0.03,49.93252362,,,H,F,,0,,,45,,EOS 280,rectangular,"12, 1.7",,1,98.8,Y
"Xue, 2019",,,,,,,,,,,,,,,,,,,,510,315,3.4,,,589.7218376,,,0.544444444,490,900,0.12,0.04,113.4259259,48.13321703,113.4259259,,,"chessboard, 90, bi",0.12,,,45,,self,,,,1,97.7,
"Awd, 2019",,,,,,,,,,,,,,,,,,,,450,270,4.8,128,,552.1861856,,200,0.291666667,350,1200,0.19,0.05,30.70175439,53.89946124,70.2811245,V,,"uniformity, 90, bi",0.083,,,,,SLM 250 HL,circular,,0.0167,1,99.5,Y
,,,,,,,,,,,,,,,,,,,,420,240,5.33,127,,529.0090814,,20,0.291666667,350,1200,0.19,0.05,30.70175439,53.89946124,70.2811245,V,,"uniformity, 90, bi",0.083,,,,,SLM 250 HL,circular,,0.0167,1,99.5,Y
"Mfusi, 2019",300,2,0,0,,,158,98,23,,44,65,362.2591754,,,,,,,,,,,,,,,0.15,150,1000,0.05,0.05,60,,,H,,,0,,,30 to 65,TLS Technik ,SLM M280,circular,"30,",,,97.33,
,300,2,0,0,,,110,61,12.5,,47,56,274.536502,,,,,,,,,,,,,,,0.15,150,1000,0.05,0.05,60,,,45,,,0,,,30 to 65,TLS Technik ,SLM M280,circular,"30,",,,96.81,
,300,2,0,0,,,156,87,17.5,,47,70,342.4557073,,,,,,,,,,,,,,,0.15,150,1000,0.05,0.05,60,,,V,,,0,,,30 to 65,TLS Technik ,SLM M280,circular,"30,",,,96.18,
"Rosenthal, 2018",300,2,0,0,,,286,183,18.7,72,110,,476.776241,,,,,,,473,263,7.8,125,71,,,20,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,H,,"chessboard, 67, bi",0.1,,,15 to 30,,,circular,"30, 6",,,,
,200,2,0,0,,,479,298,5.6,68.5,132,,591.2282041,,,,,,,,,,,,,,20,0.35,350,1000,0.2,0.06,29.16666667,44.55760662,58.33333333,,,"chessboard, 67, bi",0.1,,,15 to 30,,,circular,"30, 6",,,,
"Tridello, 2019",320,2,0,0,,,234,142,13.4,,83,,403.0657198,,,10,,0.4,0.2,413,287,5.5,135,,524.0544034,,150,0.304347826,350,1150,0.17,0.05,35.8056266,60.54022639,76.08695652,H,,,0.08,,,20 to 63 (45),,SLM 500 HL,rectangular,,0.00025,,,N
"Krystian, 2018",535,10,155,6,,,192,171,1.77,,109,64,229.19599,,,,,,,160,159,1.59,107,32,190.2095686,,,0.2,400,2000,0.165,0.05,24.24242424,45.26487022,53.33333333,H,,"stripscanning, 67",0.075,,,,EOS,Renishaw AM 250,circular,"30,6",,3,92.54,Y
"Martens, 2015",250,2,0,0,,,310,152,7.4,,,,440.384758,,,9.6,,0.41,0.16,318,175,4,,,408.3089987,,200,0.897435897,175,195,0.19,0.06,78.72244714,,,V,,,,,,,,MTT SLM 250,rectangular,"20,3",,2,98,
,510,6,170,4,,,277,230,13.1,,,,444.5906943,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
Renishaw,300,2,0,0,,,334,211,9,,103,71,477.1363764,,,,,,,442,264,9,119,71,585.1363764,,,#DIV/0!,,,,,#DIV/0!,,,H,,,0,,,,,Renishaw,,,,,,Y
,300,2,0,0,,,339,174,4,,98,66,429.3089987,,,,,,,417,206,6,123,68,533.7226876,,,#DIV/0!,,,,,#DIV/0!,,,V,,,0,,,,,Renishaw,,,,,,Y
SLM,300,2,0,0,,,257,152,12,,84,58,418.8771869,,,,,,,473,305,7,128,77,599.764706,,,#DIV/0!,400,,,0.03,,,,H,,,0,,,,,SLM,,,0.008,,,
,300,2,0,0,,,265,155,12,,,63,426.8771869,,,,,,,479,290,6,,71,595.7226876,,,#DIV/0!,400,,,0.03,#DIV/0!,,,45,,,0,,,,,SLM,,,0.008,,,
,300,2,0,0,,,264,150,11,,,52,420.2089028,,,,,,,482,276,5,,75,586.8455007,,,#DIV/0!,400,,,0.03,#DIV/0!,,,V,,,0,,,,,SLM,,,0.008,,,
,300,2,0,0,,,251,137,11,,81,49,407.2089028,,,,,,,425,258,5,128,80,529.8455007,,,#DIV/0!,400,,,0.06,#DIV/0!,,,H,,,0,,,,,SLM,,,0.008,,,
,300,2,0,0,,,259,137,10,,,48,409,,,,,,,424,249,4,,74,514.3089987,,,#DIV/0!,400,,,0.06,#DIV/0!,,,45,,,0,,,,,SLM,,,0.008,,,
,300,2,0,0,,,263,140,8,0,,49,398.463498,,,,,,,427,248,4,,77,517.3089987,,,#DIV/0!,400,,,0.06,#DIV/0!,,,V,,,0,,,,,SLM,,,0.008,,,
EOS,300,2,0,0,,,345,230,12,,,70,506.8771869,,,,,,,460,270,9,119 (HB),75,603.1363764,,,#DIV/0!,,,,,#DIV/0!,,,H,,,0,,,,,EOS M280,circular,"25, 5",,,99.85,
,300,2,0,0,,,350,230,11,,,60,506.2089028,,,,,,,460,240,6,,70,576.7226876,,,#DIV/0!,,,,,#DIV/0!,,,V,,,0,,,,,EOS M280,circular,"25, 5",,,,
,,,,,,,,,,,,,,,,,,,,360,220,8,,70,495.463498,,200,#DIV/0!,,,,,#DIV/0!,,,H,,,0,,,,,EOS M280,circular,"25, 5",,,100,
,,,,,,,,,,,,,,,,,,,,390,210,6,,70,506.7226876,,200,#DIV/0!,,,,,#DIV/0!,,,V,,,0,,,,,EOS M280,circular,"25, 5",,,100,
,300,2,0,0,,,290,165,7.3,,,,419.498429,,,,,,,395,244,3.2,,,470.7724967,,,#DIV/0!,,,,0.09,#DIV/0!,,,,,,0,,,106,,EOS M 400,circular,"25, 5",,,,
,530,5,160,12,,,315,260,1.2,,,,326.8771869,,,,,,,340,250,1.5,120 (HB),,366.4136889,,,#DIV/0!,,,,0.03,#DIV/0!,,,V,,,0,,,,,EOS M270,circular,"25,5",,,100,
GE,240,6,0,0,,,300,155,7,,,75,426.764706,,,,,,,,,,,,#NUM!,,,#DIV/0!,,,,,#DIV/0!,,,H,,,0,,,,,,,,,,,
,240,6,0,0,,,285,165,9,,,75,428.1363764,,,,,,,,,,,,#NUM!,,,#DIV/0!,,,,,#DIV/0!,,,V,,,0,,,,,,,,,,,
"Ben, 2020",,,,,,,,,,,,,,,,10.3,,0.42,0.15,,,,,,,,,,,,,,,,,H,,,,,,,,EOS M 290,rectangular,,0.001,,99.92,
,,,,,,,,,,,,,,,,10.3,,0.42,0.15,,,,,,,,,,,,,,,,,V,,,,,,,,EOS M 290,rectangular,,0.001,,,
Chen 2017,,,,,,,,,,,,,,,,10,,1,,455,300,5.4,,,,,100,,350,1170,0.24,0.05,24.92877493,5.95054E-05,0.074786325,H,,,80,,,,,SLM 250 HL,rectangular,"10,2",0.0005,,,Y
"Xiong, 2019",,,,,,,,,,,,,,,,,,,,360,220,7.1,,,,,,,350,920,,,#DIV/0!,,,H,,,,,,,Zhejiang Asia General Soldering and Brazing Material Company,SLM 250 HL,circular,"25,6",0.01/min,,98.6,Y
,,,,,,,,,,,,,,,,,,,,340,186,6,,,,,,,350,920,,,#DIV/0!,,,45,,,,,,,,SLM 250 HL,circular,"25,6",0.01/min,,98.6,Y
,,,,,,,,,,,,,,,,,,,,363,190,4.3,,,,,,,350,920,,,#DIV/0!,,,V,,,,,,,,SLM 250 HL,circular,"25,6",0.01/min,,98.6,Y
"Fousova, 2018",160,5,0,0,,,342,268,0.9,,140,,335.1363764,,,10.92,,0.35,0.11,377,255,2.2,125,,,,,,350,500,0.17,0.05,82.35294118,,,V,,Checkboard/island,,,,20 to 63,LPW technology,SLM 280 HL,circular,"35,5",0.001,,,N
,300,2,0,0,,,256,158,9.9,,82,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,510,6,170,4,,,284,210,4.9,,106,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
"Tridello, 2020",320,2,0,0,,,234,142,13.4,,76,,403.0657198,,,,,,,413,287,5.5,132,,,,150,,350,1150,0.17,0.05,35.8056266,,,H,,,80,,,45,,SLM 500 HL,,,,,,
,244,2,0,0,,,344,232,4.2,,115,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,
"Padovano, 2020",300,2,0,0,,,261,170,19.9,,,,455.8279615,,,9.7,,0.44,0.2,418,269,7.8,,,,,165,,370,1300,0.19,0.03,49.93252362,,,H,,,,,,,EOS,EOS M290,circular,"40,8",0.00025,,,Y
,300,2,0,0,,,257,159,18.1,,,,445.6517862,,,,,,,429,226,4,,,,,165,,370,1300,0.19,0.03,49.93252362,,,V,,,,,,,,,,,,,,Y
,500,2,0,0,,,138.4,83.5,29,,,,,,,,,,,,,,,,,,165,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,Y
,500,2,0,0,,,133,78,29,,,,,,,,,,,,,,,,,,165,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,Y
,550,2,180,2,,,333,275,12,,,,,,,,,,,,,,,,,,165,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,Y
,550,2,180,2,,,321,270,9,,,,,,,,,,,,,,,,,,165,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,Y
"Zhang, 2022",,,,,,,,,,,,,,,,9.8,,0.45,,402.8,276,6.37,122,,,,,,275,1600,,0.03,#DIV/0!,,,H,,67,,,,43,,Renishaw AM400,rectangular,,0.001,,99.7,
,130,4,,,,,451,309,6.46,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,98.4,
,150,4,,,,,433,296,5.3,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,170,4,,,,,408,293,3.18,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,
,190,4,,,,,380,270,3.54,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,97.9,
"Wang, 2022",,,,,,,,,,,,,,,,10.13,,0.28,0.04,478,222,7,,,,,35,,370,1300,,0.03,#DIV/0!,,,V,,,,,,,Avic matte,EOS M290,circular,"30,6",,2.1,,Y
,,,,,,,,,,,,,,,,,,,,471,228,8.6,,,,,,,,,,,#DIV/0!,,,45,,,,,,,,,,,,,,Y
,270,2,,,,,303,198,13.8,,,,,,,,,,,464,276,10.1,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,Y
,300,2,,,,,250,162,19.2,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,Y
,330,2,,,,,221,142,21.7,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,H,,,,,,,,,,,,,,Y
"Bosio, 2021",,,,,,,,,,,,,,,,,,,,365,245,3.2,131,,,,,,170,1000,0.14,0.03,40.47619048,,,,,,,,,,EOS,EOS M270,rectangular,,0.008,,,
"Cauwenbergh, 2021",,,,,,,,,,,,,,,,,,,,310,160,6.2,,,,,200,,,,,0.06,#DIV/0!,,,V,,,,,,,3D systems,DMP flex 350,,,,,,
,,,,,,,,,,,,,,,,,,,,440,250,9.8,,,,,25,,,,,0.06,#DIV/0!,,,H,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,410,225,5.4,,,,,25,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,170,6,,,,,420,265,4.8,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
,270,2,,,,,335,210,10,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,V,,,,,,,,,,,,,,
